Text Inputs : Specimen label,"G2CF_DRY"
Test : Rate 1,"0.70000",mm/min
Dimension : Support span,"25.60000",mm
Dimension : Thickness,"1.60200",mm
Dimension : Width,"13.37000",mm

Time,Extension,Load
(sec),(mm),(N)
"0.00000","-0.00016","0.05824"
"0.05000","-0.00016","-0.02562"
"0.10000","-0.00031","-0.04309"
"0.15000","-0.00062","-0.08453"
"0.20000","-0.00094","-0.21864"
"0.25000","-0.00156","-0.39976"
"0.30000","-0.00234","-0.60596"
"0.35000","-0.00328","-0.88233"
"0.40000","-0.00406","-1.14737"
"0.45000","-0.00484","-1.45132"
"0.50000","-0.00547","-1.71558"
"0.55000","-0.00625","-1.92698"
"0.60000","-0.00688","-2.13053"
"0.65000","-0.00734","-2.36110"
"0.70000","-0.00797","-2.57853"
"0.75000","-0.00859","-2.70752"
"0.80000","-0.00922","-2.94785"
"0.85000","-0.00984","-3.12526"
"0.90000","-0.01047","-3.32526"
"0.95000","-0.01109","-3.55922"
"1.00000","-0.01172","-3.71513"
"1.05000","-0.01219","-3.95154"
"1.10000","-0.01281","-4.12027"
"1.15000","-0.01328","-4.30064"
"1.20000","-0.01391","-4.46283"
"1.25000","-0.01453","-4.65317"
"1.30000","-0.01516","-4.88287"
"1.35000","-0.01578","-5.08081"
"1.40000","-0.01641","-5.25307"
"1.45000","-0.01688","-5.48729"
"1.50000","-0.01750","-5.69434"
"1.55000","-0.01812","-5.94270"
"1.60000","-0.01875","-6.07510"
"1.65000","-0.01938","-6.24688"
"1.70000","-0.02000","-6.44681"
"1.75000","-0.02047","-6.62129"
"1.80000","-0.02109","-6.86944"
"1.85000","-0.02172","-7.01952"
"1.90000","-0.02234","-7.19186"
"1.95000","-0.02281","-7.39068"
"2.00000","-0.02344","-7.52190"
"2.05000","-0.02406","-7.83683"
"2.10000","-0.02453","-7.97423"
"2.15000","-0.02516","-8.12710"
"2.20000","-0.02578","-8.34924"
"2.25000","-0.02641","-8.53695"
"2.30000","-0.02703","-8.72400"
"2.35000","-0.02750","-8.89956"
"2.40000","-0.02812","-9.12272"
"2.45000","-0.02875","-9.26228"
"2.50000","-0.02937","-9.50509"
"2.55000","-0.02984","-9.70834"
"2.60000","-0.03047","-9.81409"
"2.65000","-0.03094","-9.98034"
"2.70000","-0.03156","-10.19272"
"2.75000","-0.03219","-10.40327"
"2.80000","-0.03281","-10.56164"
"2.85000","-0.03344","-10.75132"
"2.90000","-0.03406","-10.95116"
"2.95000","-0.03453","-11.13267"
"3.00000","-0.03516","-11.30810"
"3.05000","-0.03578","-11.50661"
"3.10000","-0.03641","-11.66728"
"3.15000","-0.03688","-11.86617"
"3.20000","-0.03734","-11.99235"
"3.25000","-0.03797","-12.16028"
"3.30000","-0.03844","-12.31112"
"3.35000","-0.03906","-12.56807"
"3.40000","-0.03969","-12.69741"
"3.45000","-0.04016","-12.87222"
"3.50000","-0.04078","-13.06574"
"3.55000","-0.04141","-13.34609"
"3.60000","-0.04188","-13.46361"
"3.65000","-0.04250","-13.58150"
"3.70000","-0.04313","-13.81340"
"3.75000","-0.04359","-14.03186"
"3.80000","-0.04422","-14.16587"
"3.85000","-0.04484","-14.35342"
"3.90000","-0.04547","-14.54890"
"3.95000","-0.04609","-14.73743"
"4.00000","-0.04672","-14.87975"
"4.05000","-0.04734","-15.20126"
"4.10000","-0.04781","-15.33743"
"4.15000","-0.04844","-15.49182"
"4.20000","-0.04906","-15.69897"
"4.25000","-0.04969","-15.83473"
"4.30000","-0.05016","-16.05072"
"4.35000","-0.05078","-16.20178"
"4.40000","-0.05141","-16.39567"
"4.45000","-0.05188","-16.58101"
"4.50000","-0.05250","-16.75582"
"4.55000","-0.05313","-17.02568"
"4.60000","-0.05375","-17.11702"
"4.65000","-0.05422","-17.31199"
"4.70000","-0.05484","-17.50289"
"4.75000","-0.05547","-17.69629"
"4.80000","-0.05609","-17.84811"
"4.85000","-0.05656","-18.03204"
"4.90000","-0.05719","-18.21258"
"4.95000","-0.05781","-18.41594"
"5.00000","-0.05844","-18.57515"
"5.05000","-0.05906","-18.82415"
"5.10000","-0.05953","-18.96312"
"5.15000","-0.06016","-19.13246"
"5.20000","-0.06062","-19.31558"
"5.25000","-0.06125","-19.48429"
"5.30000","-0.06188","-19.65563"
"5.35000","-0.06250","-19.87643"
"5.40000","-0.06313","-20.09089"
"5.45000","-0.06375","-20.25741"
"5.50000","-0.06438","-20.45209"
"5.55000","-0.06500","-20.66886"
"5.60000","-0.06547","-20.82282"
"5.65000","-0.06609","-20.98786"
"5.70000","-0.06672","-21.14277"
"5.75000","-0.06719","-21.29474"
"5.80000","-0.06766","-21.43720"
"5.85000","-0.06828","-21.66030"
"5.90000","-0.06891","-21.84103"
"5.95000","-0.06953","-22.01430"
"6.00000","-0.07016","-22.19363"
"6.05000","-0.07078","-22.45977"
"6.10000","-0.07125","-22.57234"
"6.15000","-0.07188","-22.74712"
"6.20000","-0.07250","-22.99011"
"6.25000","-0.07297","-23.10722"
"6.30000","-0.07359","-23.29312"
"6.35000","-0.07406","-23.47247"
"6.40000","-0.07469","-23.59421"
"6.45000","-0.07516","-23.77789"
"6.50000","-0.07578","-23.99550"
"6.55000","-0.07641","-24.21089"
"6.60000","-0.07688","-24.35190"
"6.65000","-0.07750","-24.55095"
"6.70000","-0.07812","-24.73866"
"6.75000","-0.07875","-24.87340"
"6.80000","-0.07938","-25.09980"
"6.85000","-0.07984","-25.26317"
"6.90000","-0.08047","-25.41976"
"6.95000","-0.08109","-25.59793"
"7.00000","-0.08156","-25.82639"
"7.05000","-0.08219","-25.99845"
"7.10000","-0.08281","-26.15514"
"7.15000","-0.08344","-26.29137"
"7.20000","-0.08391","-26.48087"
"7.25000","-0.08453","-26.71167"
"7.30000","-0.08516","-26.84847"
"7.35000","-0.08578","-27.06164"
"7.40000","-0.08641","-27.22651"
"7.45000","-0.08687","-27.41673"
"7.50000","-0.08750","-27.55819"
"7.55000","-0.08813","-27.81245"
"7.60000","-0.08875","-27.94945"
"7.65000","-0.08922","-28.12598"
"7.70000","-0.08984","-28.27073"
"7.75000","-0.09031","-28.42856"
"7.80000","-0.09094","-28.65188"
"7.85000","-0.09156","-28.81836"
"7.90000","-0.09219","-28.99327"
"7.95000","-0.09281","-29.18583"
"8.00000","-0.09344","-29.39248"
"8.05000","-0.09406","-29.61329"
"8.10000","-0.09453","-29.75787"
"8.15000","-0.09516","-29.94590"
"8.20000","-0.09578","-30.14910"
"8.25000","-0.09641","-30.28581"
"8.30000","-0.09688","-30.46134"
"8.35000","-0.09750","-30.62890"
"8.40000","-0.09797","-30.81880"
"8.45000","-0.09859","-30.99906"
"8.50000","-0.09922","-31.18220"
"8.55000","-0.09984","-31.46472"
"8.60000","-0.10047","-31.56299"
"8.65000","-0.10109","-31.73693"
"8.70000","-0.10172","-31.92640"
"8.75000","-0.10219","-32.14095"
"8.80000","-0.10281","-32.28887"
"8.85000","-0.10328","-32.45927"
"8.90000","-0.10391","-32.65965"
"8.95000","-0.10453","-32.81485"
"9.00000","-0.10516","-32.99052"
"9.05000","-0.10578","-33.22839"
"9.10000","-0.10625","-33.38927"
"9.15000","-0.10687","-33.58867"
"9.20000","-0.10750","-33.77287"
"9.25000","-0.10813","-33.95191"
"9.30000","-0.10859","-34.10464"
"9.35000","-0.10922","-34.30382"
"9.40000","-0.10984","-34.49877"
"9.45000","-0.11031","-34.66571"
"9.50000","-0.11094","-34.82020"
"9.55000","-0.11156","-35.05782"
"9.60000","-0.11203","-35.16149"
"9.65000","-0.11266","-35.34904"
"9.70000","-0.11313","-35.52032"
"9.75000","-0.11375","-35.67155"
"9.80000","-0.11437","-35.86478"
"9.85000","-0.11484","-36.03891"
"9.90000","-0.11547","-36.23056"
"9.95000","-0.11609","-36.39349"
"10.00000","-0.11672","-36.64502"
"10.05000","-0.11719","-36.84273"
"10.10000","-0.11781","-36.96548"
"10.15000","-0.11844","-37.13981"
"10.20000","-0.11891","-37.29032"
"10.25000","-0.11953","-37.50505"
"10.30000","-0.12016","-37.70946"
"10.35000","-0.12078","-37.86296"
"10.40000","-0.12141","-38.04390"
"10.45000","-0.12188","-38.22105"
"10.50000","-0.12250","-38.40960"
"10.55000","-0.12313","-38.64278"
"10.60000","-0.12375","-38.75797"
"10.65000","-0.12438","-38.93693"
"10.70000","-0.12500","-39.13095"
"10.75000","-0.12563","-39.30696"
"10.80000","-0.12609","-39.47082"
"10.85000","-0.12672","-39.67503"
"10.90000","-0.12719","-39.80811"
"10.95000","-0.12781","-39.99966"
"11.00000","-0.12828","-40.17697"
"11.05000","-0.12891","-40.40154"
"11.10000","-0.12953","-40.52194"
"11.15000","-0.13016","-40.69620"
"11.20000","-0.13078","-40.90049"
"11.25000","-0.13141","-41.07384"
"11.30000","-0.13188","-41.26944"
"11.35000","-0.13250","-41.44035"
"11.40000","-0.13313","-41.63544"
"11.45000","-0.13359","-41.79137"
"11.50000","-0.13422","-41.99365"
"11.55000","-0.13484","-42.24095"
"11.60000","-0.13547","-42.36416"
"11.65000","-0.13609","-42.53529"
"11.70000","-0.13672","-42.70743"
"11.75000","-0.13734","-42.95429"
"11.80000","-0.13781","-43.08647"
"11.85000","-0.13844","-43.30352"
"11.90000","-0.13906","-43.44485"
"11.95000","-0.13953","-43.64156"
"12.00000","-0.14016","-43.79620"
"12.05000","-0.14078","-44.05640"
"12.10000","-0.14125","-44.16325"
"12.15000","-0.14188","-44.32892"
"12.20000","-0.14234","-44.51821"
"12.25000","-0.14297","-44.68231"
"12.30000","-0.14359","-44.86220"
"12.35000","-0.14406","-45.05848"
"12.40000","-0.14469","-45.17476"
"12.45000","-0.14516","-45.39564"
"12.50000","-0.14578","-45.56604"
"12.55000","-0.14625","-45.78457"
"12.60000","-0.14687","-45.92665"
"12.65000","-0.14750","-46.12055"
"12.70000","-0.14813","-46.34114"
"12.75000","-0.14875","-46.48959"
"12.80000","-0.14922","-46.70278"
"12.85000","-0.14984","-46.86378"
"12.90000","-0.15047","-46.99314"
"12.95000","-0.15109","-47.20692"
"13.00000","-0.15172","-47.40825"
"13.05000","-0.15219","-47.66035"
"13.10000","-0.15281","-47.78370"
"13.15000","-0.15344","-47.98283"
