Text Inputs : Specimen label,"G2NC_0.5"
Test : Rate 1,"15.77685",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"2.64100",mm
Dimension : Width,"13.37000",mm

Time,Extension,Load
(sec),(mm),(N)
"0.00000","0.00000","-0.00620"
"0.05000","-0.00891","-0.06038"
"0.10000","-0.02344","-0.35804"
"0.15000","-0.03781","-0.62121"
"0.20000","-0.05188","-0.90531"
"0.25000","-0.06516","-1.15754"
"0.30000","-0.07859","-1.38966"
"0.35000","-0.09188","-1.59989"
"0.40000","-0.10516","-1.86885"
"0.45000","-0.11844","-2.10309"
"0.50000","-0.13141","-2.31486"
"0.55000","-0.14469","-2.55004"
"0.60000","-0.15781","-2.79065"
"0.65000","-0.17094","-3.00677"
"0.70000","-0.18406","-3.28852"
"0.75000","-0.19719","-3.47564"
"0.80000","-0.21016","-3.74201"
"0.85000","-0.22344","-3.97751"
"0.90000","-0.23641","-4.23012"
"0.95000","-0.24984","-4.46800"
"1.00000","-0.26312","-4.69166"
"1.05000","-0.27609","-4.92389"
"1.10000","-0.28938","-5.16319"
"1.15000","-0.30219","-5.38681"
"1.20000","-0.31547","-5.64441"
"1.25000","-0.32875","-5.89224"
"1.30000","-0.34172","-6.15541"
"1.35000","-0.35484","-6.35500"
"1.40000","-0.36797","-6.59301"
"1.45000","-0.38094","-6.84385"
"1.50000","-0.39422","-7.06742"
"1.55000","-0.40750","-7.32509"
"1.60000","-0.42063","-7.54530"
"1.65000","-0.43406","-7.80709"
"1.70000","-0.44687","-8.03345"
"1.75000","-0.46016","-8.28303"
"1.80000","-0.47328","-8.54087"
"1.85000","-0.48625","-8.78232"
"1.90000","-0.49969","-9.04183"
"1.95000","-0.51250","-9.28551"
"2.00000","-0.52594","-9.52415"
"2.05000","-0.53906","-9.77390"
"2.10000","-0.55203","-10.00068"
"2.15000","-0.56547","-10.25086"
"2.20000","-0.57844","-10.53122"
"2.25000","-0.59172","-10.73754"
"2.30000","-0.60500","-10.99715"
"2.35000","-0.61781","-11.25178"
"2.40000","-0.63109","-11.50698"
"2.45000","-0.64437","-11.72734"
"2.50000","-0.65734","-11.95426"
"2.55000","-0.67078","-12.21098"
"2.60000","-0.68359","-12.50388"
"2.65000","-0.69672","-12.69498"
"2.70000","-0.71000","-12.97596"
"2.75000","-0.72297","-13.20071"
"2.80000","-0.73641","-13.49550"
"2.85000","-0.74938","-13.76527"
"2.90000","-0.76250","-13.96302"
"2.95000","-0.77578","-14.23705"
"3.00000","-0.78891","-14.48146"
"3.05000","-0.80203","-14.71941"
"3.10000","-0.81516","-14.97958"
"3.15000","-0.82812","-15.20108"
"3.20000","-0.84141","-15.43224"
"3.25000","-0.85453","-15.69394"
"3.30000","-0.86750","-15.95607"
"3.35000","-0.88109","-16.20243"
"3.40000","-0.89391","-16.44069"
"3.45000","-0.90719","-16.65476"
"3.50000","-0.92047","-16.93090"
"3.55000","-0.93328","-17.17097"
"3.60000","-0.94672","-17.45137"
"3.65000","-0.95969","-17.64444"
"3.70000","-0.97281","-17.92495"
"3.75000","-0.98609","-18.16547"
"3.80000","-0.99891","-18.42033"
"3.85000","-1.01219","-18.68698"
"3.90000","-1.02547","-18.96422"
"3.95000","-1.03859","-19.18570"
"4.00000","-1.05188","-19.43430"
"4.05000","-1.06484","-19.70612"
"4.10000","-1.07797","-19.92392"
"4.15000","-1.09141","-20.21852"
"4.20000","-1.10422","-20.46502"
"4.25000","-1.11766","-20.68895"
"4.30000","-1.13063","-20.95387"
"4.35000","-1.14359","-21.23083"
"4.40000","-1.15703","-21.46196"
"4.45000","-1.16984","-21.71289"
"4.50000","-1.18328","-21.96604"
"4.55000","-1.19656","-22.23151"
"4.60000","-1.20953","-22.48011"
"4.65000","-1.22281","-22.71999"
"4.70000","-1.23594","-22.99582"
"4.75000","-1.24891","-23.24856"
"4.80000","-1.26234","-23.51196"
