Text Inputs : Specimen label,"G2NC_1_DRY"
Test : Rate 1,"15.25134",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"2.73200",mm
Dimension : Width,"12.85000",mm

Time,Extension,Load
(sec),(mm),(N)
"0.00000","0.00000","0.06623"
"0.05000","-0.00563","-0.02295"
"0.10000","-0.02016","-0.29379"
"0.15000","-0.03516","-0.68299"
"0.20000","-0.04906","-0.98789"
"0.25000","-0.06281","-1.25086"
"0.30000","-0.07563","-1.55610"
"0.35000","-0.08859","-1.86048"
"0.40000","-0.10141","-2.16234"
"0.45000","-0.11406","-2.46019"
"0.50000","-0.12688","-2.77243"
"0.55000","-0.13969","-3.07503"
"0.60000","-0.15234","-3.35176"
"0.65000","-0.16531","-3.66264"
"0.70000","-0.17781","-3.94456"
"0.75000","-0.19047","-4.24000"
"0.80000","-0.20344","-4.50105"
"0.85000","-0.21578","-4.82900"
"0.90000","-0.22875","-5.10357"
"0.95000","-0.24125","-5.40484"
"1.00000","-0.25391","-5.69922"
"1.05000","-0.26687","-6.05287"
"1.10000","-0.27922","-6.33990"
"1.15000","-0.29219","-6.59691"
"1.20000","-0.30500","-6.90628"
"1.25000","-0.31766","-7.23367"
"1.30000","-0.33047","-7.53863"
"1.35000","-0.34328","-7.79686"
"1.40000","-0.35578","-8.09631"
"1.45000","-0.36844","-8.43564"
"1.50000","-0.38125","-8.73284"
"1.55000","-0.39375","-9.07590"
"1.60000","-0.40672","-9.34602"
"1.65000","-0.41922","-9.66855"
"1.70000","-0.43187","-9.91719"
"1.75000","-0.44500","-10.26711"
"1.80000","-0.45734","-10.55571"
"1.85000","-0.47031","-10.85469"
"1.90000","-0.48297","-11.16077"
"1.95000","-0.49563","-11.46712"
"2.00000","-0.50844","-11.80006"
"2.05000","-0.52109","-12.09395"
"2.10000","-0.53375","-12.35988"
"2.15000","-0.54656","-12.71138"
"2.20000","-0.55906","-13.00513"
"2.25000","-0.57172","-13.30222"
"2.30000","-0.58453","-13.58942"
"2.35000","-0.59703","-13.91729"
"2.40000","-0.61000","-14.22693"
"2.45000","-0.62281","-14.54838"
"2.50000","-0.63531","-14.88461"
"2.55000","-0.64828","-15.21462"
"2.60000","-0.66078","-15.53570"
"2.65000","-0.67344","-15.81819"
"2.70000","-0.68625","-16.13690"
"2.75000","-0.69891","-16.47437"
"2.80000","-0.71156","-16.75872"
"2.85000","-0.72438","-17.10971"
"2.90000","-0.73687","-17.37991"
"2.95000","-0.74969","-17.68927"
"3.00000","-0.76234","-18.01298"
"3.05000","-0.77516","-18.38158"
"3.10000","-0.78797","-18.65317"
"3.15000","-0.80063","-18.96053"
"3.20000","-0.81312","-19.25732"
"3.25000","-0.82609","-19.60264"
"3.30000","-0.83875","-19.87487"
"3.35000","-0.85156","-20.22531"
"3.40000","-0.86422","-20.50294"
