Text Inputs : Specimen label,"G2NE_DRY"
Test : Rate 1,"1.30000",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"3.48000",mm
Dimension : Width,"13.81000",mm

Time,Extension,Load
(sec),(mm),(N)
"0.00000","0.00000","0.03773"
"0.05000","0.00000","0.00106"
"0.10000","-0.00016","0.01436"
"0.15000","-0.00047","-0.01860"
"0.20000","-0.00125","-0.00030"
"0.25000","-0.00281","-0.09366"
"0.30000","-0.00469","-0.19548"
"0.35000","-0.00656","-0.28617"
"0.40000","-0.00813","-0.40384"
"0.45000","-0.00953","-0.46523"
"0.50000","-0.01078","-0.49614"
"0.55000","-0.01188","-0.58634"
"0.60000","-0.01297","-0.61704"
"0.65000","-0.01406","-0.66382"
"0.70000","-0.01516","-0.71905"
"0.75000","-0.01625","-0.77338"
"0.80000","-0.01734","-0.80725"
"0.85000","-0.01844","-0.81071"
"0.90000","-0.01938","-0.89641"
"0.95000","-0.02047","-0.96105"
"1.00000","-0.02172","-1.01620"
"1.05000","-0.02281","-1.08008"
"1.10000","-0.02391","-1.05265"
"1.15000","-0.02484","-1.13729"
"1.20000","-0.02594","-1.15613"
"1.25000","-0.02703","-1.23200"
"1.30000","-0.02812","-1.23514"
"1.35000","-0.02922","-1.23248"
"1.40000","-0.03031","-1.30333"
"1.45000","-0.03141","-1.33455"
"1.50000","-0.03234","-1.43256"
"1.55000","-0.03344","-1.42121"
"1.60000","-0.03453","-1.45636"
"1.65000","-0.03563","-1.50040"
"1.70000","-0.03672","-1.54797"
"1.75000","-0.03781","-1.60806"
"1.80000","-0.03891","-1.61748"
"1.85000","-0.04000","-1.63668"
"1.90000","-0.04109","-1.68461"
"1.95000","-0.04203","-1.73255"
"2.00000","-0.04328","-1.78606"
"2.05000","-0.04437","-1.82861"
"2.10000","-0.04547","-1.87243"
"2.15000","-0.04656","-1.87866"
"2.20000","-0.04766","-1.94522"
"2.25000","-0.04859","-1.96703"
"2.30000","-0.04969","-2.01078"
"2.35000","-0.05094","-2.06782"
"2.40000","-0.05203","-2.11342"
"2.45000","-0.05313","-2.14351"
"2.50000","-0.05422","-2.19876"
"2.55000","-0.05516","-2.24623"
"2.60000","-0.05641","-2.24823"
"2.65000","-0.05750","-2.31425"
"2.70000","-0.05875","-2.37251"
"2.75000","-0.05984","-2.40422"
"2.80000","-0.06094","-2.42231"
"2.85000","-0.06188","-2.47718"
"2.90000","-0.06297","-2.51493"
"2.95000","-0.06406","-2.51695"
"3.00000","-0.06516","-2.54994"
"3.05000","-0.06609","-2.63293"
"3.10000","-0.06719","-2.65734"
"3.15000","-0.06828","-2.67921"
"3.20000","-0.06922","-2.73172"
"3.25000","-0.07031","-2.80375"
"3.30000","-0.07141","-2.84224"
"3.35000","-0.07250","-2.86405"
"3.40000","-0.07359","-2.91340"
"3.45000","-0.07469","-2.91992"
"3.50000","-0.07578","-3.02214"
"3.55000","-0.07688","-3.01286"
"3.60000","-0.07781","-3.00885"
"3.65000","-0.07891","-3.09129"
"3.70000","-0.08000","-3.16255"
"3.75000","-0.08125","-3.22719"
"3.80000","-0.08234","-3.21883"
"3.85000","-0.08344","-3.24109"
"3.90000","-0.08438","-3.35321"
"3.95000","-0.08547","-3.37772"
"4.00000","-0.08672","-3.45217"
"4.05000","-0.08781","-3.47768"
"4.10000","-0.08891","-3.52956"
"4.15000","-0.09000","-3.56096"
"4.20000","-0.09109","-3.56931"
"4.25000","-0.09219","-3.64276"
"4.30000","-0.09328","-3.69442"
"4.35000","-0.09437","-3.72329"
"4.40000","-0.09547","-3.77149"
"4.45000","-0.09656","-3.81170"
"4.50000","-0.09766","-3.82972"
"4.55000","-0.09875","-3.88912"
"4.60000","-0.09969","-3.91102"
"4.65000","-0.10078","-3.95309"
"4.70000","-0.10172","-4.01201"
"4.75000","-0.10281","-4.06459"
"4.80000","-0.10391","-4.06019"
"4.85000","-0.10500","-4.08455"
"4.90000","-0.10609","-4.18985"
"4.95000","-0.10719","-4.22628"
"5.00000","-0.10813","-4.26683"
"5.05000","-0.10922","-4.34176"
"5.10000","-0.11047","-4.40381"
"5.15000","-0.11156","-4.47095"
"5.20000","-0.11266","-4.48673"
"5.25000","-0.11359","-4.53169"
"5.30000","-0.11469","-4.60391"
"5.35000","-0.11594","-4.61800"
"5.40000","-0.11703","-4.62513"
"5.45000","-0.11812","-4.66855"
"5.50000","-0.11922","-4.73248"
